条形码,登录号,读者条码,外借时间,应归还时间,主键码,虚拟库室,续借次数,处理时间,流通库室键码,签到键码,附件,备注
10856130,10856130,1.31418E+11,2015/6/21 17:58,2015/7/21 23:59,629350,27,0,,0,0,,
10704551,10704551,1.21406E+11,2015/6/9 16:55,2015/7/9 23:59,628379,27,0,,0,0,,
10767251,10767251,1.41402E+11,2015/6/9 17:01,2015/7/9 23:59,629382,27,0,,0,0,,
10371678,10371678,1.21408E+11,2015/6/23 8:26,2015/7/23 23:59,316614,8,0,,0,0,,
11112711,11112711,1.41426E+11,2015/6/9 18:00,2015/7/9 23:59,425475,27,0,,0,0,,
11229750,11229750,1.41408E+11,2015/6/9 18:05,2015/7/9 23:59,703048,27,0,,0,0,,
10823670,10823670,1.31402E+11,2015/6/23 9:03,2015/7/23 23:59,328081,8,0,,0,0,,
10783487,10783487,1.21409E+11,2015/6/9 18:07,2015/7/9 23:59,622317,27,0,,0,0,,
10411587,10411587,1.41426E+11,2015/6/23 9:05,2015/7/23 23:59,294977,8,0,,0,0,,
10764893,10764893,1.41403E+11,2015/6/9 18:15,2015/7/9 23:59,632037,27,0,,0,0,,
10477543,10477543,1.41426E+11,2015/6/23 9:05,2015/7/23 23:59,638341,8,0,,0,0,,
10941636,10941636,9.6E+11,2015/6/23 9:20,2015/7/23 23:59,683687,8,0,,0,0,,
10846301,10846301,1.41416E+11,2015/6/9 18:22,2015/7/9 23:59,631068,27,0,,0,0,,
10692872,10692872,9905133,2015/4/21 18:18,2015/6/22 23:59,631062,27,1,,0,0,,
10753050,10753050,9905133,2015/4/21 18:18,2015/6/22 23:59,621928,27,1,,0,0,,
10794321,10794321,9903565,2014/6/30 14:41,2015/8/11 23:59,674312,8,0,,0,0,,
10693364,10693364,9903259,2014/6/30 11:05,2015/8/11 23:59,629025,27,0,,0,0,,
10683870,10683870,9903565,2014/6/30 14:41,2015/8/11 23:59,423483,8,0,,0,0,,
10378125,10378125,1.21402E+11,2015/5/17 14:21,2015/7/6 23:59,317788,8,1,,0,0,,
10985612,10985612,9903565,2014/6/30 14:41,2015/8/11 23:59,692960,8,0,,0,0,,
11495488,11495488,1.21415E+11,2015/5/5 16:27,2015/6/4 23:59,419785,8,0,,0,0,,
11063787,11063787,1.42251E+11,2015/2/16 11:23,2015/3/23 23:59,439363,8,0,,0,0,,
10857090,10857090,1.31425E+11,2015/5/19 16:13,2015/6/22 23:59,626056,8,1,,0,0,,
10847541,10847541,1.31406E+11,2015/6/26 16:50,2015/7/27 23:59,625091,27,0,,0,0,,
10720270,10720270,1.41518E+11,2015/6/13 15:27,2015/7/13 23:59,625544,27,0,,0,0,,
10703558,10703558,1.41518E+11,2015/6/13 15:27,2015/7/13 23:59,622247,27,0,,0,0,,
11231751,11231751,1.31406E+11,2015/6/13 15:41,2015/8/12 23:59,708559,27,1,,0,0,,
11498794,11498794,1.31416E+11,2015/5/31 17:09,2015/6/30 23:59,427504,27,0,,0,0,,
10863706,10863706,9.6E+11,2015/5/10 11:20,2015/6/9 23:59,619598,27,0,,0,0,,
11053472,11053472,1.2141E+11,2015/6/13 16:14,2015/7/13 23:59,430140,27,0,,0,0,,
10678502,10678502,1.2141E+11,2015/6/13 16:14,2015/7/13 23:59,417716,27,0,,0,0,,
11092365,11092365,1.21402E+11,2015/5/6 16:49,2015/7/16 23:59,633789,8,2,,0,0,,
11498855,11498855,1.41418E+11,2015/6/13 16:41,2015/7/13 23:59,427537,27,0,,0,0,,
10928395,10928395,1.41418E+11,2015/6/13 16:41,2015/7/13 23:59,630890,27,0,,0,0,,
11048913,11048913,1.41416E+11,2015/6/13 17:22,2015/7/13 23:59,410946,27,0,,0,0,,
10684098,10684098,1.41402E+11,2015/5/31 17:15,2015/6/30 23:59,439607,8,0,,0,0,,
10913758,10913758,1.41415E+11,2015/6/26 18:56,2015/7/27 23:59,624306,27,0,,0,0,,
10942998,10942998,1.21403E+11,2015/6/26 16:45,2015/7/27 23:59,670429,8,0,,0,0,,
10953410,10953410,1.31416E+11,2015/6/13 17:35,2015/8/13 23:59,638624,8,1,,0,0,,
10974952,10974952,9.6E+11,2015/6/13 17:35,2015/7/13 23:59,684951,8,0,,0,0,,
10204326,10204326,1.21404E+11,2015/5/28 20:14,2015/7/29 23:59,257367,8,2,,0,0,,
10757266,10757266,1.21403E+11,2015/6/26 17:02,2015/7/27 23:59,628368,27,0,,0,0,,
11123831,11123831,1.31406E+11,2015/5/31 17:25,2015/6/30 23:59,436543,27,0,,0,0,,
10718597,10718597,1.21402E+11,2015/6/26 17:05,2015/7/27 23:59,627172,27,0,,0,0,,
10849925,10849925,1.31418E+11,2015/6/26 17:12,2015/7/27 23:59,629477,27,0,,0,0,,
